Host_ReportedName,IUCNsp_recognized,IUCN_name,host_type,host_stage,taxon_level,database_genus,order_name,family_name,genus_name,category,synonymization_source,host_stage_source
Myodes rex,YES,Myodes rex,WILD,intermediate,species,Myodes,RODENTIA,CRICETIDAE,Myodes,LC,,
Myodes rufocanus,YES,Myodes rufocanus,WILD,intermediate,species,Myodes,RODENTIA,CRICETIDAE,Myodes,LC,,
Myodes rufocanus bedfordiae,YES,Myodes rufocanus,WILD,intermediate,species,Myodes,RODENTIA,CRICETIDAE,Myodes,LC,,
Myodes rutilus,YES,Myodes rutilus,WILD,intermediate,species,Myodes,RODENTIA,CRICETIDAE,Myodes,LC,,
Myospalax fontanieri,YES,Eospalax fontanierii,WILD,intermediate,species,Eospalax,RODENTIA,SPALACIDAE,Eospalax,LC,,
Nasua nasua,YES,Nasua nasua,WILD,unknown,species,Nasua,CARNIVORA,PROCYONIDAE,Nasua,LC,,
Neodon fuscus,YES,Lasiopodomys fuscus,WILD,intermediate,species,Lasiopodomys,RODENTIA,CRICETIDAE,Lasiopodomys,LC,,
Neotoma Cinera Rupicola,YES,Neotoma cinerea,WILD,intermediate,species,Neotoma,RODENTIA,CRICETIDAE,Neotoma,LC,,
Neotoma cinerea,YES,Neotoma cinerea,WILD,intermediate,species,Neotoma,RODENTIA,CRICETIDAE,Neotoma,LC,,
Neovison vison,YES,Neovison vison,WILD,definitive,species,Neovison,CARNIVORA,MUSTELIDAE,Neovison,LC,,
Nyctereutes procyonoides,YES,Nyctereutes procyonoides,WILD,definitive,species,Nyctereutes,CARNIVORA,CANIDAE,Nyctereutes,LC,,
Nyctereutes procyonoides albus,YES,Nyctereutes procyonoides,WILD,definitive,species,Nyctereutes,CARNIVORA,CANIDAE,Nyctereutes,LC,,
Ochotona curzoniae,YES,Ochotona curzoniae,WILD,intermediate,species,Ochotona,LAGOMORPHA,OCHOTONIDAE,Ochotona,LC,,
Ochotona daurica,YES,Ochotona dauurica,WILD,intermediate,species,Ochotona,LAGOMORPHA,OCHOTONIDAE,Ochotona,LC,,
Ochotona rufescens,YES,Ochotona rufescens,WILD,intermediate,species,Ochotona,LAGOMORPHA,OCHOTONIDAE,Ochotona,LC,,
Ondatra zibethicus,YES,Ondatra zibethicus,WILD,intermediate,species,Ondatra,RODENTIA,CRICETIDAE,Ondatra,LC,,
Oryctolagus cuniculus,YES,Oryctolagus cuniculus,WILD,intermediate,species,Oryctolagus,LAGOMORPHA,LEPORIDAE,Oryctolagus,NT,,
Panthera leo,YES,Panthera leo,WILD,definitive,species,Panthera,CARNIVORA,FELIDAE,Panthera,VU,,
Panthera leo,YES,Panthera leo,WILD,definitive,species,Panthera,CARNIVORA,FELIDAE,Panthera,CR,,
